country,state,city,station,last_update,latitude,longitude,pollutant_type,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB",25-03-2025 10:00,17.930306,77.482194,NH3,0,0,0
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB",25-03-2025 10:00,17.930306,77.482194,SO2,0,0,0
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB",25-03-2025 10:00,17.930306,77.482194,OZONE,0,0,0
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",25-03-2025 10:00,11.55358,76.55521,PM10,33,62,44
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",25-03-2025 10:00,11.55358,76.55521,NH3,1,4,2
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",25-03-2025 10:00,13.428828,77.731418,PM2.5,0,0,0
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",25-03-2025 10:00,13.428828,77.731418,PM10,44,114,62
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",25-03-2025 10:00,13.428828,77.731418,NO2,15,22,19
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",25-03-2025 10:00,12.733409,77.298051,NH3,1,1,1
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",25-03-2025 10:00,13.94,75.555917,CO,8,30,19
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",25-03-2025 10:00,13.377516,77.099072,NH3,2,2,2
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",25-03-2025 10:00,13.377516,77.099072,CO,56,58,57
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",25-03-2025 10:00,13.377516,77.099072,OZONE,5,7,6
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",25-03-2025 10:00,16.7602,77.1428,CO,12,34,20
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",25-03-2025 10:00,13.029152,77.585901,CO,4,31,22
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",25-03-2025 10:00,12.938539,77.5901,NH3,2,6,3
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",25-03-2025 10:00,12.920984,77.584908,NO2,12,29,17
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",25-03-2025 10:00,12.7816279,77.6299145,PM2.5,7,196,63
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",25-03-2025 10:00,12.7816279,77.6299145,PM10,46,121,78
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",25-03-2025 10:00,12.7816279,77.6299145,NH3,7,7,7
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",25-03-2025 10:00,10.073232,76.302765,NH3,1,1,1
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",25-03-2025 10:00,11.875,75.3732,PM2.5,45,51,48
